u,g,r,i,z,Teff,FeH
17.57483,16.40734,16.01598,15.86502,15.81603,5373,-1.08
19.16897,18.69469,18.183,17.3739,16.83097,3717,-0.2
20.11432,19.0578,19.0401,19.11722,19.20416,8500,-1
18.73347,17.79527,17.5834,17.49039,17.48627,7000,-1
17.377,16.27815,15.87686,15.72075,15.65271,5790,-0.65
20.38912,18.84137,18.40491,17.94199,17.80968,5059,-0.16
21.17013,19.39814,18.80633,18.59375,18.53661,5221,-0.24
18.87744,16.76612,15.92491,15.62685,15.46556,4528,0.07
21.73144,19.42948,17.4123,17.48848,16.89484,3980,-0.04
19.85767,18.62073,18.83731,18.98718,19.10461,8500,-2.5
21.31886,18.92232,18.057,17.74577,17.59342,4576,-0.39
19.17497,18.25224,18.11284,18.08206,18.13355,7000,-2.5
20.73077,18.58041,17.74009,17.41599,17.23463,4576,-0.39
21.16738,19.9168,19.43763,19.2332,19.17024,5630,-0.45
20.17243,19.10639,18.7033,18.56889,18.49777,6000,-1
19.48829,18.7034,18.44908,18.38307,18.34373,6500,-2.5
18.72231,16.93312,16.20565,15.91062,15.76783,4955,-0.23
20.13827,19.71967,19.91274,20.08715,20.42023,7652,0.06
21.51842,19.92269,19.43075,19.22994,19.23864,5320,-0.76
22.68864,20.24041,18.83504,18.44515,18.22282,4000,0
18.15999,16.99026,16.58536,16.45852,16.39187,6000,-0.5
19.50138,18.41817,18.25745,18.32479,18.32502,7500,-1
19.92916,18.79827,17.6972,17.45363,17.31187,5059,-0.16
24.24387,21.58957,20.17998,19.60318,19.21314,3858,-0.06
18.48456,17.46961,17.13673,17.02247,16.98207,6000,-1.5
19.8993,18.84915,18.71635,18.71309,18.76235,7000,-1.5
20.295,18.69316,18.02247,17.76031,17.61034,5169,-0.17
20.06171,19.19464,18.87577,18.74596,18.74987,5769,-1.61
18.89647,17.94141,17.62506,17.48194,17.44981,6000,-2
18.49372,16.82553,16.20514,16.00121,15.91272,5190,0.01
17.59207,16.26665,15.78222,15.62484,15.68374,5476,-0.32
19.39799,17.89082,17.32375,17.12354,17.03538,5426,-0.04
17.3039,16.0613,15.58008,15.39104,15.33997,5320,-0.76
25.75585,21.09632,19.66021,19.06015,18.71261,4246,0
18.84431,17.83971,17.46557,17.3258,17.281,6040,-0.11
19.70761,18.65326,18.30872,18.19901,18.15163,6000,-1.5
23.80595,21.35381,19.93356,18.6938,18.01692,3717,-0.2
18.22829,17.24184,16.94986,16.8392,16.8173,6000,-2
18.6397,17.75396,17.43092,17.31743,17.30531,6000,-2
18.10672,17.07219,16.90609,16.86587,16.87685,7000,-1
18.95124,18.00813,17.72345,17.61425,17.60024,6000,0
16.19498,15.0378,14.70165,15.37764,14.52852,6038,-0.08
18.12278,16.87786,16.39942,16.1939,16.08889,5320,-0.76
19.14948,17.95711,17.45627,17.27153,17.19611,5320,-0.76
18.97877,18.00051,17.74837,17.64651,17.62972,6500,-2
17.26816,16.25302,15.9382,15.82679,15.78908,6000,-1
19.05655,18.03675,17.67915,17.57789,17.54446,6000,-1
18.53706,17.67741,17.42338,17.2954,17.28419,6000,-2.5
17.94062,16.91187,16.85751,16.82972,16.91412,7500,-2.5
19.92295,18.63192,17.99677,17.829,17.67813,5320,-0.76
18.1613,17.03791,16.63783,16.51234,16.4349,6000,-1
18.42059,18.48429,18.83872,19.11143,19.35358,5000,0
22.89167,19.8391,18.35078,17.72533,17.37808,3890,0.28
19.33003,18.10579,17.62681,17.47341,17.42379,5630,-0.45
17.31503,16.01691,15.49243,15.29128,15.19943,6163,-0.29
