u,g,r,i,z,Teff
21.90165,19.34557,18.40081,18.03495,17.83386,4576
15.88399,14.74523,14.32863,14.58434,14.15162,5373
19.94362,18.69478,18.3095,18.11411,18.12915,5630
20.72725,18.02181,16.68583,16.1302,15.84262,3890
18.66191,16.90997,16.22045,15.9705,15.85876,5059
20.05003,19.07855,18.77011,18.67432,18.65057,6500
21.51124,18.8453,17.51153,16.95423,16.65601,3962
22.22461,19.94759,18.93781,18.55627,18.35812,4382
21.40395,19.45498,18.63198,18.33191,18.11848,4576
21.24976,19.16389,18.26718,17.95881,17.80773,4576
22.54848,19.87625,18.58168,18.02672,17.69134,3962
17.88797,16.82401,16.489,16.36282,16.357,6000
19.96125,17.61316,16.61442,16.2233,16.03193,4382
19.13027,18.19643,17.9687,17.905,17.85255,6500
19.68064,19.49773,19.62052,19.81544,20.05541,4600
17.46177,16.41245,16.12708,16.01488,16.00724,6000
18.86448,17.57043,17.05314,16.84126,16.72406,5320
19.86329,18.91183,18.581,18.4728,18.44683,6000
18.40986,17.26574,16.85822,16.70353,16.62693,5373
18.74381,16.9147,16.19337,15.91492,15.77366,4955
19.91534,18.7374,18.85874,18.9845,19.16809,8500
17.57483,16.40734,16.01598,15.86502,15.81603,5373
19.16897,18.69469,18.183,17.3739,16.83097,3717
20.11432,19.0578,19.0401,19.11722,19.20416,8500
18.73347,17.79527,17.5834,17.49039,17.48627,7000
17.377,16.27815,15.87686,15.72075,15.65271,5790
20.38912,18.84137,18.40491,17.94199,17.80968,5059
21.17013,19.39814,18.80633,18.59375,18.53661,5221
18.87744,16.76612,15.92491,15.62685,15.46556,4528
21.73144,19.42948,17.4123,17.48848,16.89484,3980
19.85767,18.62073,18.83731,18.98718,19.10461,8500
21.31886,18.92232,18.057,17.74577,17.59342,4576
19.17497,18.25224,18.11284,18.08206,18.13355,7000
20.73077,18.58041,17.74009,17.41599,17.23463,4576
21.16738,19.9168,19.43763,19.2332,19.17024,5630
20.17243,19.10639,18.7033,18.56889,18.49777,6000
19.48829,18.7034,18.44908,18.38307,18.34373,6500
18.72231,16.93312,16.20565,15.91062,15.76783,4955
20.13827,19.71967,19.91274,20.08715,20.42023,7652
21.51842,19.92269,19.43075,19.22994,19.23864,5320
22.68864,20.24041,18.83504,18.44515,18.22282,4000
19.92295,18.63192,17.99677,17.829,17.67813,5320
18.1613,17.03791,16.63783,16.51234,16.4349,6000
18.42059,18.48429,18.83872,19.11143,19.35358,5000
22.89167,19.8391,18.35078,17.72533,17.37808,3890
19.33003,18.10579,17.62681,17.47341,17.42379,5630
17.31503,16.01691,15.49243,15.29128,15.19943,6163
18.51254,17.12438,16.53009,16.29596,16.16014,5613
18.48567,17.23497,16.73623,16.56257,16.50287,5651
24.02062,21.08169,19.79842,19.29272,18.92611,4382
19.35893,17.89577,17.24237,16.99044,16.85701,6155
19.51472,18.20191,17.63909,17.40331,17.28823,5630
18.17326,17.10972,16.73453,16.57569,16.48905,6000
23.15673,20.16103,18.82322,18.1648,17.8949,3962
17.86744,17.83661,18.22575,18.49767,18.74954,9000
15.47201,15.57497,15.90389,16.16473,16.41831,9899
18.79104,17.69725,17.5851,17.58982,17.65203,7500
18.24132,16.70968,16.09472,15.86202,15.76519,5261
19.797,18.65518,18.57625,18.59319,18.59579,8500
21.85774,19.19735,17.9402,17.4306,17.23153,3962
22.19682,19.53899,18.02059,17.1968,16.72172,3980
18.5513,17.5738,17.32834,17.29379,17.24489,6500
18.20682,17.03266,16.59724,16.39196,16.30338,5873
18.71851,17.75764,17.41603,17.27969,17.27299,6000
18.8099,17.94278,17.70672,17.59936,17.58234,6000
18.02082,16.95089,16.70526,16.62711,16.64225,6500
18.23391,17.04955,16.55303,16.38659,16.3125,5720
25.14134,21.75103,20.20788,19.11071,18.49293,3717
19.06706,17.78489,17.24868,17.02733,16.9588,5665
23.27281,21.02498,19.97949,19.67644,19.51854,4353
18.86989,17.63711,17.13568,16.9218,16.81947,5665
19.23783,17.93051,17.4585,17.3201,17.25217,5474
20.02775,19.15964,18.85127,18.73131,18.62257,6162
19.33209,17.72443,17.11713,16.88623,16.82107,5221
19.65743,18.18861,16.95552,16.68489,16.51345,5169
18.84282,17.57157,17.02377,16.81907,16.70304,5630
18.24265,17.74759,17.63479,17.61646,17.65725,7500
18.47952,17.4885,17.15911,17.02257,16.97942,6000
18.13915,17.00677,16.60824,16.4629,16.41653,5790
21.10942,19.36225,18.63176,18.34206,18.21555,5059
19.06437,17.80689,17.21645,16.98142,16.81627,5073
19.85537,19.9742,20.25889,20.58451,20.83413,5000
19.06254,18.07661,17.65415,17.47791,17.40232,6000
18.46581,17.35166,17.21083,17.22671,17.29245,7500
17.03639,15.86272,15.44779,15.306,15.23367,5373
23.22164,20.78226,18.88017,17.84412,17.25915,3717
22.98936,20.56856,19.03903,16.99877,15.84063,3714
18.53615,17.31698,17.03643,16.94301,16.89805,6500
19.28829,17.9761,17.97654,17.9882,18.07684,8500
18.94073,17.80078,17.4077,17.24629,17.20279,6000
18.43512,17.30352,17.19988,17.21554,17.21168,7500
18.73194,17.73994,17.42425,17.29153,17.2543,6000
18.27868,17.3452,17.088,16.95724,16.92773,6500
15.70168,14.58722,14.40353,14.36599,14.43032,7134
20.29221,19.14953,18.99714,18.97365,18.97546,8500
18.69144,17.61558,17.20117,17.03712,16.97945,5613
18.59831,17.32915,17.30964,17.3299,17.31147,7500
18.00918,16.9754,16.63921,16.50193,16.49563,6000
19.90557,17.32327,16.2546,15.863,15.65124,4382
20.60659,19.51278,19.26434,19.17405,19.12721,6500
17.02405,15.99468,15.60916,15.44568,15.37314,5734
20.37675,20.20658,20.50474,20.74228,21.31798,7652
19.45107,18.38657,18.23066,18.18887,18.19806,6808
19.89175,20.08175,20.32298,20.63092,20.78814,9500
17.03706,15.85252,15.65633,15.60911,15.59849,7235
19.43612,18.3378,18.18679,18.16129,18.19179,7852
19.85343,18.83793,18.64511,18.58679,18.59007,7500
19.35145,18.12385,18.07881,18.0816,18.12495,7500
19.82897,18.14418,17.95182,18.05949,18.36673,7134
20.21635,19.00464,18.91041,18.89328,18.89704,7852
22.28057,19.09395,17.99852,17.45827,17.22489,4576
21.16613,20.13244,19.6615,19.41154,19.24929,5850
22.1809,19.73117,18.30559,17.97781,17.27904,3858
19.48027,18.17562,17.64455,17.44124,17.33864,5320
19.59425,18.33615,17.91066,17.67362,17.56625,5661
20.79597,19.43257,18.7913,18.64495,18.5339,5047
19.68695,19.67472,20.02325,20.32162,20.62666,9000
17.6581,16.55548,16.70726,16.87932,16.9435,8500
20.34051,18.55949,17.7715,17.42129,17.26987,5651
19.25194,18.2717,18.01712,17.90655,17.8851,6500
18.6759,17.38285,16.86903,16.68229,16.58761,5320
16.79231,15.50062,14.92929,14.68886,14.54752,5152
22.38553,20.95257,19.41383,17.22142,16.01249,3717
20.93347,19.69685,19.19497,19.05367,19.03417,5405
19.59906,18.33547,18.39017,18.49881,18.59277,7652
17.91939,16.81043,16.66582,16.64259,16.65866,7000
17.82972,16.84997,16.52111,16.38367,16.35341,6000
20.05687,19.01903,18.8047,18.75402,18.72585,6500
19.26475,18.82206,19.04992,19.28696,19.41995,7652
19.97817,19.88066,20.21217,20.42117,20.54344,7652
17.18925,15.98545,15.53578,15.36095,15.28022,5720
18.15341,17.09871,16.73118,16.59341,16.54883,6000
19.24451,17.92299,17.37385,17.15999,17.06432,5625
19.02747,17.83204,17.60946,17.5548,17.54848,7000
16.29776,15.26695,15.0939,15.05828,15.10017,7000
17.07886,16.14677,15.77444,15.61557,15.5875,6000
18.93829,17.79384,17.36567,17.19469,17.12869,5659
21.08582,18.72955,17.309,16.38904,15.80385,3858
23.88311,21.90872,19.93532,19.13917,18.70678,3980
18.28935,17.00251,16.81116,16.78335,16.81202,7000
18.46721,17.32436,17.17588,17.16808,17.17087,7500
19.51202,18.28237,18.27456,18.31461,18.25486,8500
18.37166,17.14814,16.67478,16.48941,16.43557,5762
17.7792,16.74297,16.34375,16.17258,16.11201,6000
17.745,16.5887,16.12548,15.95214,15.87635,5373
19.55624,19.54811,19.70001,19.8548,20.08382,5880
20.32928,19.34971,19.21103,19.18511,19.25893,6500
18.13675,16.95987,16.55333,16.39322,16.35034,5373
19.57007,18.39575,18.52933,18.56819,18.6603,8500
16.18487,15.25177,15.12097,15.10251,15.11644,7500
19.38353,18.4197,18.13765,18.01557,17.98582,6500
19.30338,18.07207,17.81586,17.69498,17.66352,6000
22.49786,19.67885,18.20861,17.74215,17.4335,4000
17.39544,16.26961,15.91358,15.81007,15.76784,6000
17.82126,16.57102,16.11049,15.95387,15.87731,5630
18.61696,17.39822,17.45235,17.53157,17.57023,8500
23.24463,20.38136,18.60366,17.74501,17.25289,3858
20.65623,19.23333,18.65643,18.42193,18.30385,5221
17.92215,16.66882,16.24369,16.11109,16.06367,5625
18.56782,17.70851,17.35826,17.21212,17.15781,6000
20.10975,18.96901,18.91082,18.91422,18.9379,8500
20.46847,20.40135,20.75718,21.0977,21.71857,9000
21.16123,20.19006,19.71476,19.49839,19.71144,5790
19.35812,18.02375,17.51076,17.347,17.26059,5285
21.21977,19.04498,17.49471,16.13164,15.72832,3858
18.45397,17.36307,16.98321,16.83603,16.79497,5873
23.98371,20.64583,19.40343,18.83923,18.6843,3962
21.40974,20.33463,20.05581,19.92988,20.05191,6000
20.62115,18.86762,18.16119,17.90644,17.81264,5059
18.14938,17.05816,16.92704,16.9027,16.94179,7000
17.39197,16.10306,16.18448,16.26842,16.30496,7500
17.62291,16.70179,16.43275,16.32239,16.29025,6000
19.60386,19.10826,19.20186,19.24622,19.44466,7652
16.11729,14.82751,14.93684,15.04877,15.10866,8500
19.63773,18.65977,18.24584,17.89163,18.03324,5405
19.44913,18.55939,18.32384,18.22515,18.15384,6500
19.96027,18.75596,18.84953,18.96511,19.07741,9500
17.91118,16.82053,16.43722,16.30295,16.26458,5704
18.67446,17.48908,17.43697,17.47296,17.51583,7354
20.28263,17.59426,16.13836,15.33948,14.91603,3980
19.38567,16.91554,15.8864,15.49716,15.30994,4382
19.02718,17.1746,16.47379,16.19587,16.05654,4955
21.321,18.70869,17.66014,17.24181,17.0393,4382
21.27444,18.74152,17.41857,16.85113,16.54996,3890
19.16688,17.94076,17.4534,17.23895,17.19897,5285
18.48031,17.09432,16.57087,16.36968,16.30803,5285
18.15839,17.73644,17.6399,17.63571,17.71772,7500
24.60518,21.29779,19.72989,18.523,17.84836,3717
18.74318,17.77797,17.44545,17.32809,17.3208,6000
18.839,17.64321,17.20511,17.02151,16.93655,6000
16.66801,15.50804,15.0945,14.87155,14.92805,6038
17.49508,16.2529,15.84256,15.68872,15.61308,6038
23.28989,20.58273,19.08063,18.12562,17.58626,3980
18.52258,17.21311,16.70136,16.52276,16.47482,5476
22.26375,20.26228,19.54642,19.25258,19.2302,5059
17.97881,16.86188,16.79324,16.81605,16.87779,7500
18.29455,17.20199,16.81515,16.66636,16.57445,5790
19.26138,18.0163,17.56752,17.41392,17.37289,5474
18.97237,17.87571,17.46435,17.30884,17.24508,5790
20.49205,18.77278,18.09857,17.84011,17.71559,4955
18.59706,17.46624,16.98057,16.8082,16.71923,5613
17.9833,17.04811,16.76991,16.65887,16.62674,6000
18.05606,17.08389,16.75074,16.62018,16.57691,6000
16.46055,15.19484,14.76574,14.63652,14.59147,5625
22.27413,19.80785,18.23752,17.2207,16.67669,3717
18.05346,16.95197,16.56443,16.43572,16.37421,5790
22.52952,21.93192,21.28724,18.83464,17.55248,3717
23.85165,20.90929,19.43042,18.91536,18.00374,3980
18.93571,18.53748,18.70605,18.91966,19.07875,9000
22.43314,20.43366,19.24841,18.70496,18.40067,3962
21.12043,19.07456,18.17143,17.84762,17.66844,4576
23.88675,22.14642,20.45086,19.23263,18.08871,3717
24.04316,21.16078,19.5001,18.72443,18.31897,3858
18.97584,18.00307,17.6682,17.51378,17.46934,6500
19.54398,18.53485,18.37981,18.36561,18.3968,7000
19.03208,17.92422,17.84898,17.8868,17.89835,8500
17.77008,16.6066,16.16779,16.01387,15.96547,5935
18.2777,17.07912,16.97993,16.98118,17.04959,7500
17.57453,16.38595,16.48978,16.61654,16.73915,8500
24.51489,23.20098,21.25764,18.54093,17.1193,3717
19.07534,18.09572,17.70908,17.55906,17.49908,6500
19.8406,18.78081,18.68112,18.69403,18.70067,7500
18.77184,17.51899,17.32603,17.24935,17.22758,6500
20.4921,20.06351,20.21731,20.41219,20.60966,9000
19.99373,18.92531,18.77166,18.73283,18.78758,7500
19.11586,17.94378,18.05203,18.18766,18.29054,9000
21.13235,18.49486,17.20728,16.66124,16.30044,3890
19.63414,18.71211,18.45996,18.32506,18.32586,6500
18.71556,17.57673,17.38265,17.33843,17.32211,7000
17.60185,16.44489,16.0355,15.89363,15.83241,5790
20.32024,19.86125,20.05687,20.30732,20.58231,9000
24.89819,23.4007,23.09395,19.78455,18.35134,7500
18.37732,17.29697,17.16619,17.17923,17.18468,7500
19.94736,18.8437,18.61631,18.54066,18.58321,7000
16.61461,15.34073,15.38575,15.42507,15.45481,7500
20.26751,19.15252,19.02924,19.00291,19.04558,7500
19.73833,18.54554,18.47995,18.49683,18.55868,7500
19.83998,18.83138,18.62778,18.57713,18.59222,7000
18.89454,17.8078,17.64339,17.61766,17.63338,7500
23.80375,21.7942,20.21309,19.05754,18.33543,3717
17.89702,16.88423,16.63092,16.55843,16.54659,6500
19.71611,18.60229,18.17072,17.99231,17.94616,5704
19.30549,18.14503,17.95158,17.93145,17.95916,7500
19.27258,17.98267,17.68764,17.59704,17.49668,6500
17.56835,16.5251,16.31972,16.25974,16.25105,7000
19.54655,19.03401,19.07618,19.16894,19.24053,8500
17.69299,16.46461,16.34915,16.36364,16.42924,7072
25.06498,22.6612,21.20897,20.08954,19.36806,3717
18.27757,17.11443,16.70599,16.57374,16.5323,5790
18.07006,16.73158,16.85902,16.9705,17.02494,9500
18.8123,17.73496,17.32841,17.1848,17.15741,5704
22.35818,19.41088,17.83388,17.24004,16.9135,3962
22.36484,19.98268,18.9258,18.07955,17.68788,3980
18.95628,17.73277,17.2434,17.04211,16.96518,5324
18.73682,17.65075,17.23958,17.07875,17.03255,5790
18.32636,18.30245,18.64292,18.96547,19.38005,9000
18.83499,17.67422,17.21462,17.0269,16.96924,5659
18.67197,17.48616,17.09216,16.93513,16.90254,5373
18.78875,17.73226,17.30846,17.15094,17.05935,6000
18.69433,17.40621,16.89817,16.70631,16.63521,5476
22.32026,20.01979,19.19994,18.87411,18.72626,5164
20.19233,18.89934,18.37691,18.13039,18.00245,5257
21.59327,20.04613,19.32025,19.00969,18.8746,5059
20.68072,19.03672,18.44939,18.21711,18.11023,5261
19.34245,18.44862,18.68546,18.87642,19.02608,8554
18.73286,17.51029,17.10567,17.12384,16.89732,5373
20.28601,19.35361,19.04722,18.94363,18.95143,6500
18.36361,17.06105,16.55137,16.37948,16.29799,5377
20.19201,19.16403,18.80987,18.66123,18.63558,6000
17.54864,16.39727,15.99365,15.84926,15.81315,5373
19.67111,18.69331,18.42404,18.32199,18.33427,6500
16.28121,15.06947,14.58916,14.4493,14.3573,5373
17.62618,16.60053,16.29035,16.18539,16.15608,6245
18.87507,17.85557,17.50484,17.36444,17.32458,6000
17.15582,15.30363,14.61057,14.32705,14.19237,4671
19.77754,18.68132,18.30315,18.18173,18.09196,6000
20.50689,20.17221,20.38671,20.57813,20.70215,9000
17.22833,16.21433,15.88916,15.74973,15.73119,6000
18.64904,17.26745,16.73828,16.5734,16.47126,5426
17.55366,16.46706,16.09744,15.96723,15.94523,6000
23.6952,21.86624,20.24658,18.60188,17.77965,3717
19.00221,17.88604,17.47782,17.36188,17.32663,5790
19.28199,18.02971,17.57447,17.41688,17.36618,5630
18.98588,17.91426,17.54264,17.41822,17.37327,6000
21.7108,20.49698,20.39035,19.75985,19.62061,5132
18.77936,17.84024,17.59402,17.49631,17.48408,6500
18.70442,17.80157,17.53409,17.4362,17.44367,6000
